;country;grams_sugar_per_day
0;Finland;86.8
1;Denmark;152.0
2;Norway;120.0
3;Iceland;132.0
4;Netherlands;122.0
5;Switzerland;166.0
6;Sweden;115.0
7;New Zealand;162.0
8;Canada;132.0
9;Austria;124.0
10;Australia;126.0
11;Costa Rica;144.0
12;Israel;76.2
13;Luxembourg;141.0
14;United Kingdom;113.0
15;Ireland;126.0
16;Germany;133.0
17;Belgium;144.0
18;United States;175.0
19;Czech Republic;118.0
20;United Arab Emirates;101.0
21;Malta;168.0
22;Mexico;133.0
23;France;107.0
24;Chile;131.0
25;Guatemala;132.0
26;Saudi Arabia;86.8
27;Spain;85.6
28;Panama;95.3
29;Brazil;117.0
30;Uruguay;111.0
31;El Salvador;113.0
32;Italy;88.0
33;Trinidad and Tobago;162.0
34;Poland;122.0
35;Uzbekistan;27.6
36;Lithuania;130.0
37;Colombia;160.0
38;Slovenia;75.1
39;Nicaragua;116.0
40;Argentina;132.0
41;Romania;70.1
42;Cyprus;101.0
43;Ecuador;63.3
44;Kuwait;106.0
45;Thailand;109.0
46;Latvia;117.0
47;South Korea;105.0
48;Estonia;86.5
49;Jamaica;135.0
50;Mauritius;96.0
51;Japan;74.2
52;Honduras;131.0
53;Kazakhstan;78.4
54;Bolivia;75.2
55;Hungary;95.0
56;Paraguay;69.6
57;Peru;62.9
58;Portugal;78.0
59;Pakistan;76.0
60;Russia;134.0
61;Philippines;64.6
62;Serbia;77.1
63;Moldova;64.6
64;Montenegro;131.0
65;Tajikistan;51.9
66;Croatia;118.0
67;Dominican Republic;95.3
68;Turkey;87.3
69;Malaysia;121.0
70;Belarus;107.0
71;Greece;80.3
72;Mongolia;40.3
73;Nigeria;29.4
74;Turkmenistan;24.6
75;Algeria;78.2
76;Morocco;109.0
77;Azerbaijan;50.5
78;Lebanon;123.0
79;Indonesia;46.5
80;China;18.8
81;Vietnam;27.4
82;Cameroon;27.2
83;Bulgaria;78.7
84;Ghana;40.5
85;Nepal;13.0
86;Jordan;128.0
87;Benin;21.4
88;Gabon;42.6
89;South Africa;101.0
90;Albania;131.0
91;Venezuela;106.0
92;Cambodia;51.5
93;Senegal;50.0
94;Namibia;55.4
95;Niger;14.5
96;Burkina Faso;20.3
97;Armenia;97.4
98;Iran;79.8
99;Guinea;27.2
100;Georgia;93.1
101;Gambia;72.2
102;Kenya;43.7
103;Mauritania;99.2
104;Mozambique;30.7
105;Tunisia;95.5
106;Bangladesh;22.1
107;Iraq;52.8
108;Mali;28.1
109;Sierra Leone;16.5
110;Sri Lanka;73.4
111;Myanmar;46.2
112;Chad;29.1
113;Ukraine;126.0
114;Ethiopia;18.1
115;Swaziland;95.3
116;Uganda;32.4
117;Egypt;78.0
118;Zambia;28.1
119;Togo;33.3
120;India;64.2
121;Liberia;15.5
122;Madagascar;20.3
123;Lesotho;45.5
124;Zimbabwe;80.6
125;Haiti;45.8
126;Botswana;85.0
127;Malawi;22.6
128;Yemen;77.9
129;Rwanda;14.1
130;Tanzania;28.0
131;Afghanistan;24.5
132;Central African Republic;22.4